r_fm,beta_numerical,beta_linear_fit_B0r
7.7232,1.000099e-02,1.000101e-02
10.3489,1.340118e-02,1.340111e-02
12.9746,1.680149e-02,1.680121e-02
15.6004,2.020193e-02,2.020144e-02
18.2261,2.360251e-02,2.360154e-02
20.8518,2.700327e-02,2.700165e-02
23.4775,3.040423e-02,3.040175e-02
26.1033,3.380541e-02,3.380198e-02
28.7290,3.720683e-02,3.720208e-02
31.3547,4.060851e-02,4.060218e-02
33.9804,4.401049e-02,4.400228e-02
36.6062,4.741278e-02,4.740251e-02
39.2319,5.081540e-02,5.080261e-02
41.8576,5.421838e-02,5.420271e-02
44.4833,5.762173e-02,5.760281e-02
47.1091,6.102548e-02,6.100304e-02
49.7348,6.442965e-02,6.440314e-02
52.3605,6.783426e-02,6.780324e-02
54.9863,7.123933e-02,7.120347e-02
57.6120,7.464487e-02,7.460357e-02
